f_count	n_in_f	t_sort	t_merge	t_sum
1	100000	18.281000000002678	0	18.281000000002678
10	10000	8.825000000011642	0.6439999999856809	9.468999999997322
20	5000	7.76500000001397	0.7969999999913853	8.562000000005355
30	3333	7.284999999974389	0.8710000000282889	8.156000000002678
40	2500	6.657000000035623	1.0469999999622814	7.7039999999979045
50	2000	6.253000000026077	1.1999999999679858	7.452999999994063
60	1666	5.936999999990803	1.4060000000172295	7.343000000008033
70	1428	5.936000000001513	1.532999999995809	7.4689999999973224
80	1250	5.721000000005006	1.481999999989057	7.202999999994063
90	1111	5.424000000013621	1.7949999999982538	7.219000000011874
100	1000	5.342999999935273	2.0010000000620494	7.3439999999973224
110	909	5.109000000011292	2.0939999999827705	7.202999999994063
120	833	5.096000000048662	2.2159999999566935	7.312000000005355
130	769	4.986999999993714	2.2480000000068685	7.235000000000582
140	714	4.801999999937834	2.495000000053551	7.296999999991385
150	666	4.827999999935855	2.5150000000721775	7.343000000008033
160	625	4.652999999947497	2.6440000000438886	7.296999999991385
170	588	4.581000000049244	2.824999999953434	7.4060000000026776
180	555	4.517000000079861	2.920999999914784	7.437999999994645
190	526	4.431000000113272	3.208999999886146	7.639999999999418
200	500	4.486000000033528	3.1239999999670545	7.610000000000582
210	476	4.502000000036787	3.3729999999632128	7.875
220	454	4.267999999996391	3.529000000009546	7.797000000005937
230	434	4.184000000008382	3.533999999985099	7.717999999993481
240	416	4.1599999999889405	3.684000000022934	7.844000000011874
250	400	4.111999999993714	3.857000000003609	7.9689999999973224
260	384	4.414000000047963	4.085999999952037	8.5
270	370	4.217000000062399	4.391999999934342	8.60899999999674
280	357	4.024000000033993	4.194999999963329	8.218999999997322
290	344	4.158999999883235	4.482000000120024	8.64100000000326
300	333	4.115999999979977	4.368000000016764	8.48399999999674
310	322	3.9249999999883585	4.872000000017579	8.797000000005937
320	312	4.013000000020838	4.767999999981839	8.781000000002678
330	303	4.060999999914202	4.9080000000831205	8.968999999997322
340	294	3.9210000000020955	4.906999999991967	8.827999999994063
350	285	3.7939999999507563	5.143000000054599	8.937000000005355
360	277	3.7470000000175787	5.440999999977066	9.187999999994645
370	270	4.00199999997858	5.217000000018743	9.218999999997322
380	263	3.687000000034459	5.812999999965541	9.5
390	256	4.732999999949243	4.626000000062049	9.359000000011292
400	250	3.1860000000160653	6.11099999997532	9.296999999991385
410	243	3.642000000036205	5.8739999999670545	9.51600000000326
420	238	4.216999999989639	5.5640000000130385	9.781000000002678
430	232	3.8729999999923166	5.971000000005006	9.843999999997322
440	227	3.7109999999811407	5.929000000018277	9.639999999999418
450	222	3.34599999996135	6.592000000033295	9.937999999994645
460	217	3.551000000021304	6.651999999987311	10.203000000008615
470	212	3.6710000000311993	6.515999999959604	10.186999999990803
480	208	3.371000000028289	6.831999999980326	10.203000000008615
490	204	3.530999999959022	6.7660000000323635	10.296999999991385
500	200	3.5889999999053543	6.9740000001038425	10.563000000009197
510	196	3.3640000000596046	7.244999999937136	10.60899999999674
520	192	3.662000000025728	7.040999999968335	10.702999999994063
530	188	3.356000000028871	7.550999999977648	10.90700000000652
540	185	3.6210000000573928	7.20699999993667	10.827999999994063
550	181	3.5459999999875436	7.485000000015134	11.031000000002678
560	178	3.528999999994994	7.4870000000082655	11.01600000000326
570	175	3.3020000000396976	8.134999999965657	11.437000000005355
580	172	3.3990000000048894	7.756999999983236	11.155999999988126
590	169	3.349000000031083	8.088999999978114	11.438000000009197
600	166	3.3170000000391155	8.041999999957625	11.35899999999674
610	163	3.319000000046799	8.149999999950523	11.468999999997322
620	161	3.3430000000516884	8.218999999953667	11.562000000005355
630	158	3.408000000039465	8.060999999957858	11.468999999997322
640	156	3.2989999999845168	8.451000000015483	11.75
650	153	3.323000000003958	8.879999999990105	12.202999999994063
660	151	3.3289999999833526	8.624000000025262	11.953000000008615
670	149	3.2439999999915017	8.913000000000466	12.156999999991967
680	147	3.2000000000552973	8.70599999994738	11.906000000002678
690	144	3.1000000000203727	8.899999999979627	12.0
700	142	3.3070000000152504	9.004999999990105	12.312000000005355
710	140	3.176000000050408	9.323999999949592	12.5
720	138	3.341000000014901	9.768999999985681	13.110000000000582
730	136	3.290999999997439	9.520999999993364	12.811999999990803
740	135	3.5270000000455184	9.707999999955064	13.235000000000582
750	133	3.149000000063097	9.74099999993632	12.889999999999418
760	131	3.1540000000677537	9.908999999941443	13.063000000009197
770	129	3.0789999999833526	9.98300000000745	13.061999999990803
780	128	3.1660000000847504	9.740999999921769	12.90700000000652
790	126	3.151999999958207	9.942000000039116	13.093999999997322
800	125	3.223000000056345	10.245999999940977	13.468999999997322
810	123	3.0960000000195578	10.20099999998638	13.297000000005937
820	121	3.2009999999863794	10.595000000015716	13.796000000002095
830	120	3.3109999999578577	11.111000000033528	14.421999999991385
840	119	3.016000000105123	10.890999999901396	13.90700000000652
850	117	3.3139999998675194	11.623000000137836	14.937000000005355
860	116	3.060000000128639	11.408999999868684	14.468999999997322
870	114	3.0420000000012806	11.472999999998137	14.514999999999418
880	113	2.9320000000152504	11.286999999982072	14.218999999997322
890	112	3.2079999999550637	11.105000000039581	14.312999999994645
900	111	2.745000000038999	11.660999999963678	14.406000000002678
910	109	2.877999999996973	12.278000000005704	15.156000000002678
920	108	3.224999999991269	11.744000000006054	14.968999999997322
930	107	2.8959999999642605	12.182000000044354	15.078000000008615
940	106	2.967000000004191	12.251999999993131	15.218999999997322
950	105	3.2159999999712454	11.971000000019558	15.186999999990803
960	104	2.9889999999286374	12.746000000071945	15.735000000000582
970	103	3.0629999998927815	12.453000000110478	15.51600000000326
980	102	2.91499999986263	12.132000000143307	15.047000000005937
990	101	2.8379999999451684	12.506000000052154	15.343999999997322
1000	100	2.9709999999322463	12.57500000006985	15.546000000002095
